Initial temperature;Pressure;Fi;Autoignition time;Final Temperature
1000;;;;
;;1,8;7,3655;2761,603644
;;2,2;8,2225;2544,078682
;;2,6;9,0575;2321,913113
;;3;9,8845;2106,430423
;;3,4;10,7125;1926,484327
;;3,8;11,5485;1806,979083
;270200;;;
;;0,2;2,4675;1886,142414
;;0,6;3,8105;2635,591099
;;1;4,8585;2929,19329
;;1,4;5,7425;2937,44425
;;1,8;6,5455;2766,837834
;;2,2;7,3065;2546,693737
;;2,6;8,0495;2323,034893
;;3;8,7865;2106,835359
;;3,4;9,5245;1926,237191
;;3,8;10,2695;1808,652397
;303975;;;
;;0,2;2,2385;1886,242959
;;0,6;3,4345;2639,986115
;;1;4,3725;2938,617253
;;1,4;5,1665;2945,534886
;;1,8;5,8885;2771,308836
;;2,2;6,5745;2548,901204
;;2,6;7,2435;2323,9734
;;3;7,9075;2107,170957
;;3,4;8,5735;1926,085489
;;3,8;9,2455;1810,403531
;337750;;;
;;0,2;2,0515;1886,328525
;;0,6;3,1255;2643,837679
;;1;3,9755;2947,012249
;;1,4;4,6955;2952,669417
;;1,8;5,3505;2775,19273
;;2,2;5,9745;2550,799023
;;2,6;6,5835;2324,774109
;;3;7,1875;2107,454955
;;3,4;7,7945;1926,000564
;;3,8;8,4075;1812,181801
;371525;;;
;;0,2;1,8955;1886,402421
;;0,6;2,8685;2647,256602
;;1;3,6425;2954,576901
;;1,4;4,3015;2959,03741
;;1,8;4,9015;2778,612501
;;2,2;5,4735;2552,454759
;;2,6;6,0325;2325,468046
;;3;6,5875;2107,699346
;;3,4;7,1445;1925,961833
;;3,8;7,7065;1813,951146
;405300;;;
;;0,2;1,7635;1886,467004
;;0,6;2,6495;2650,323587
;;1;3,3605;2961,457595
;;1,4;3,9675;2964,7779
;;1,8;4,5205;2781,657202
;;2,2;5,0485;2553,916798
;;2,6;5,5645;2326,077224
;;3;6,0775;2107,912563
;;3,4;6,5925;1925,954251
;;3,8;7,1125;1815,686772
1400;;;;
;101325;;;
;;0,2;1,8515;1976,082493
;;0,6;2,6065;2640,589645
;;1;3,2495;2875,626511
;;1,4;3,8015;2898,677786
;;1,8;4,3045;2777,286605
;;2,2;4,7805;2594,90373
;;2,6;5,2445;2397,506227
;;3;5,7015;2198,155923
;;3,4;6,1545;2011,532744
;;3,8;6,6105;1871,933217
;135100;;;
;;0,2;1,4645;1976,664342
;;0,6;2,0865;2654,759324
;;1;2,6075;2900,392571
;;1,4;3,0525;2922,248309
;;1,8;3,4565;2793,221438
;;2,2;3,8405;2604,350036
;;2,6;4,2145;2402,383916
;;3;4,5835;2200,267685
;;3,4;4,9505;2011,493278
;;3,8;5,3185;1871,645141
;168875;;;
;;0,2;1,2235;1977,063062
;;0,6;1,7515;2665,396909
;;1;2,1905;2919,5015
;;1,4;2,5645;2940,211059
;;1,8;2,9055;2805,035603
;;2,2;3,2285;2611,186733
;;2,6;3,5435;2405,836577
;;3;3,8545;2201,735899
;;3,4;4,1645;2011,422982
;;3,8;4,4765;1871,738679
;202650;;;
;;0,2;1,0565;1977,355921
;;0,6;1,5145;2673,851594
;;1;1,8945;2935,039502
;;1,4;2,2185;2954,658082
;;1,8;2,5135;2814,323242
;;2,2;2,7945;2616,459236
;;2,6;3,0675;2408,454258
;;3;3,3375;2202,83512
;;3,4;3,6065;2011,344612
;;3,8;3,8785;1872,11875
;236425;;;
;;0,2;0,9325;1977,580923
;;0,6;1,3385;2680,829739
;;1;1,6735;2948,11857
;;1,4;1,9595;2966,699121
;;1,8;2,2195;2821,914328
;;2,2;2,4675;2620,700673
;;2,6;2,7095;2410,531317
;;3;2,9485;2203,699168
;;3,4;3,1875;2011,266214
;;3,8;3,4285;1872,707131
;270200;;;
;;0,2;0,8385;1977,759292
;;0,6;1,2005;2686,74616
;;1;1,4995;2959,401767
;;1,4;1,7555;2976,992979
;;1,8;1,9895;2828,293699
;;2,2;2,2125;2624,217161
;;2,6;2,4295;2412,233815
;;3;2,6445;2204,402217
;;3,4;2,8595;2011,190446
;;3,8;3,0765;1873,441135
;303975;;;
;;0,2;0,7625;1977,903962
;;0,6;1,0895;2691,864547
;;1;1,3605;2969,316264
;;1,4;1,5925;2985,962341
;;1,8;1,8045;2833,768019
;;2,2;2,0065;2627,199482
;;2,6;2,2035;2413,663739
;;3;2,3995;2204,989184
;;3,4;2,5955;2011,11788
;;3,8;2,7925;1874,271713
;337750;;;
;;0,2;0,7005;1978,023334
;;0,6;0,9975;2696,36258
;;1;1,2455;2978,153361
;;1,4;1,4575;2993,894336
;;1,8;1,6515;2838,542937
;;2,2;1,8365;2629,773931
;;2,6;2,0175;2414,88776
;;3;2,1975;2205,489095
;;3,4;2,3765;2011,048299
;;3,8;2,5585;1875,161337
;371525;;;
;;0,2;0,6495;1978,123141
;;0,6;0,9215;2700,365457
;;1;1,1485;2986,12056
;;1,4;1,3445;3000,992743
;;1,8;1,5235;2842,762703
;;2,2;1,6945;2632,028078
;;2,6;1,8615;2415,951602
;;3;2,0275;2205,921672
;;3,4;2,1935;2010,981234
;;3,8;2,3615;1876,08186
;405300;;;
;;0,2;0,6055;1978,207447
;;0,6;0,8555;2703,964579
;;1;1,0665;2993,370872
;;1,4;1,2475;3007,407303
;;1,8;1,4135;2846,532172
;;2,2;1,5725;2634,02492
;;2,6;1,7285;2416,887842
;;3;1,8825;2206,30086
;;3,4;2,0365;2010,916191
;;3,8;2,1935;1877,012537
1500;;;;
;101325;;;
;;0,2;0,7655;2064,888297
;;0,6;0,9365;2683,167512
;;1;1,1075;2901,435121
;;1,4;1,2595;2929,504097
;;1,8;1,4025;2826,226139
;;2,2;1,5395;2661,032854
;;2,6;1,6745;2478,164079
;;3;1,8075;2290,932919
;;3,4;1,9385;2105,69224
;;3,8;2,0695;1951,543812
;135100;;;
;;0,2;0,5985;2065,698022
;;0,6;0,7465;2699,029161
;;1;0,8875;2927,308207
;;1,4;1,0135;2954,812559
;;1,8;1,1305;2844,634575
;;2,2;1,2435;2672,883336
;;2,6;1,3535;2484,987563
;;3;1,4625;2294,300509
;;3,4;1,5705;2107,004319
;;3,8;1,6785;1951,353451
;168875;;;
;;0,2;0,4965;2066,214885
;;0,6;0,6255;2710,99817
;;1;0,7475;2947,295736
;;1,4;0,8555;2974,183952
;;1,8;0,9555;2858,395016
;;2,2;1,0515;2681,547108
;;2,6;1,1455;2489,868824
;;3;1,2395;2296,662257
;;3,4;1,3315;2107,921714
;;3,8;1,4235;1951,319833
;202650;;;
;;0,2;0,4265;2066,56559
;;0,6;0,5415;2720,551193
;;1;0,6495;2963,564056
;;1,4;0,7435;2989,821365
;;1,8;0,8315;2869,285225
;;2,2;0,9155;2688,282127
;;2,6;0,9985;2493,599443
;;3;1,0805;2298,440675
;;3,4;1,1615;2108,610567
;;3,8;1,2425;1951,411744
;236425;;;
;;0,2;0,3755;2066,81184
;;0,6;0,4795;2728,464173
;;1;0,5755;2977,269046
;;1,4;0,6605;3002,896466
;;1,8;0,7385;2878,23654
;;2,2;0,8145;2693,735713
;;2,6;0,8885;2496,578626
;;3;0,9615;2299,844338
;;3,4;1,0335;2109,152944
;;3,8;1,1065;1951,600006
;270200;;;
;;0,2;0,3365;2066,987737
;;0,6;0,4315;2735,194205
;;1;0,5185;2989,100503
;;1,4;0,5955;3014,106375
;;1,8;0,6665;2885,79589
;;2,2;0,7345;2698,282327
;;2,6;0,8015;2499,033529
;;3;0,8675;2300,989967
;;3,4;0,9335;2109,594683
;;3,8;0,9995;1951,85979
;303975;;;
;;0,2;0,3055;2067,113843
;;0,6;0,3925;2741,032648
;;1;0,4725;2999,503142
;;1,4;0,5425;3023,89925
;;1,8;0,6075;2892,310817
;;2,2;0,6695;2702,156831
;;2,6;0,7315;2501,104653
;;3;0,7915;2301,948786
;;3,4;0,8525;2109,963683
;;3,8;0,9125;1952,170758
;337750;;;
;;0,2;0,2805;2067,20337
;;0,6;0,3605;2746,176302
;;1;0,4345;3008,78041
;;1,4;0,4985;3032,580069
;;1,8;0,5585;2898,015343
;;2,2;0,6165;2705,515556
;;2,6;0,6735;2502,884398
;;3;0,7295;2302,767101
;;3,4;0,7845;2110,27805
;;3,8;0,8405;1952,516625
;371525;;;
;;0,2;0,2605;2067,265235
;;0,6;0,3345;2750,764142
;;1;0,4025;3017,148578
;;1,4;0,4625;3040,365638
;;1,8;0,5185;2903,074233
;;2,2;0,5715;2708,467435
;;2,6;0,6245;2504,436469
;;3;0,6765;2303,476526
;;3,4;0,7285;2110,550123
;;3,8;0,7805;1952,884573
;405300;;;
;;0,2;0,2425;2067,30569
;;0,6;0,3115;2754,897831
;;1;0,3755;3024,767203
;;1,4;0,4315;3047,415514
;;1,8;0,4835;2907,607659
;;2,2;0,5335;2711,091177
;;2,6;0,5825;2505,806461
;;3;0,6315;2304,099492
;;3,4;0,6795;2110,78865
;;3,8;0,7285;1953,264652
1600;;;;
;101325;;;
;;0,2;0,3655;2148,99192
;;0,6;0,3975;2723,379243
;;1;0,4425;2926,732073
;;1,4;0,4845;2958,620278
;;1,8;0,5265;2871,325937
;;2,2;0,5685;2722,65286
;;2,6;0,6105;2554,362423
;;3;0,6525;2380,087691
;;3,4;0,6935;2205,021393
;;3,8;0,7325;2042,46708
;135100;;;
;;0,2;0,2835;2149,800232
;;0,6;0,3125;2740,874405
;;1;0,3505;2953,700645
;;1,4;0,3865;2985,543969
;;1,8;0,4215;2892,130349
;;2,2;0,4565;2737,017314
;;2,6;0,4915;2563,436549
;;3;0,5255;2385,140371
;;3,4;0,5595;2207,461497
;;3,8;0,5925;2043,036505
;168875;;;
;;0,2;0,2325;2150,213048
;;0,6;0,2595;2754,134164
;;1;0,2935;2974,558885
;;1,4;0,3245;3006,22612
;;1,8;0,3555;2907,794673
;;2,2;0,3855;2747,618753
;;2,6;0,4155;2569,998488
;;3;0,4445;2388,722167
;;3,4;0,4735;2209,163743
;;3,8;0,5025;2043,436339
;202650;;;
;;0,2;0,1985;2150,414325
;;0,6;0,2235;2764,755829
;;1;0,2535;2991,55178
;;1,4;0,2815;3022,972576
;;1,8;0,3085;2920,265644
;;2,2;0,3355;2755,922647
;;2,6;0,3615;2575,055867
;;3;0,3885;2391,440819
;;3,4;0,4135;2210,440933
;;3,8;0,4395;2043,750136
;236425;;;
;;0,2;0,1745;2150,491114
;;0,6;0,1975;2773,58131
;;1;0,2245;3005,878334
;;1,4;0,2495;3037,012277
;;1,8;0,2745;2930,568397
;;2,2;0,2985;2762,689076
;;2,6;0,3225;2579,122141
;;3;0,3455;2393,599943
;;3,4;0,3685;2211,446167
;;3,8;0,3915;2044,014654
;270200;;;
;;0,2;0,1555;2150,490036
;;0,6;0,1775;2781,107848
;;1;0,2025;3018,254651
;;1,4;0,2255;3049,077755
;;1,8;0,2475;2939,307615
;;2,2;0,2695;2768,360645
;;2,6;0,2915;2582,491944
;;3;0,3125;2395,371029
;;3,4;0,3335;2212,26462
;;3,8;0,3545;2044,247738
;303975;;;
;;0,2;0,1405;2150,438263
;;0,6;0,1615;2787,653112
;;1;0,1845;3029,142717
;;1,4;0,2055;3059,640707
;;1,8;0,2265;2946,869031
;;2,2;0,2465;2773,216537
;;2,6;0,2665;2585,348802
;;3;0,2865;2396,8595
;;3,4;0,3055;2212,948056
;;3,8;0,3245;2044,458606
;337750;;;
;;0,2;0,1285;2150,352625
;;0,6;0,1485;2793,432106
;;1;0,1695;3038,857953
;;1,4;0,1895;3069,022599
;;1,8;0,2085;2953,513296
;;2,2;0,2275;2777,443523
;;2,6;0,2455;2587,81415
;;3;0,2645;2398,13433
;;3,4;0,2825;2213,530052
;;3,8;0,3005;2044,652235
;371525;;;
;;0,2;0,1195;2150,244037
;;0,6;0,1375;2798,596938
;;1;0,1575;3047,625281
;;1,4;0,1755;3077,452266
;;1,8;0,1935;2959,424504
;;2,2;0,2115;2781,17233
;;2,6;0,2285;2589,972156
;;3;0,2455;2399,242861
;;3,4;0,2625;2214,033497
;;3,8;0,2795;2044,831421
;405300;;;
;;0,2;0,1105;2150,119836
;;0,6;0,1275;2803,259068
;;1;0,1465;3055,610717
;;1,4;0,1645;3085,098328
;;1,8;0,1815;2964,737318
;;2,2;0,1975;2784,497795
;;2,6;0,2135;2591,883346
;;3;0,2295;2400,21884
;;3,4;0,2455;2214,474624
;;3,8;0,2615;2044,997804
1700;;;;
;101325;;;
;;0,2;0,1935;2225,39726
;;0,6;0,1935;2761,453601
;;1;0,2035;2951,498197
;;1,4;0,2165;2986,246178
;;1,8;0,2295;2912,882795
;;2,2;0,2435;2779,757161
;;2,6;0,2575;2625,646721
;;3;0,2725;2464,60232
;;3,4;0,2865;2301,270292
;;3,8;0,2985;2140,783548
;135100;;;
;;0,2;0,1485;2226,007552
;;0,6;0,1495;2780,519877
;;1;0,1595;2979,549624
;;1,4;0,1695;3014,677446
;;1,8;0,1815;2935,96751
;;2,2;0,1925;2796,663824
;;2,6;0,2045;2637,183199
;;3;0,2165;2471,731517
;;3,4;0,2285;2305,15828
;;3,8;0,2385;2142,45987
;168875;;;
;;0,2;0,1215;2226,239953
;;0,6;0,1235;2795,024719
;;1;0,1325;3001,26985
;;1,4;0,1415;3036,583662
;;1,8;0,1515;2953,458174
;;2,2;0,1615;2809,248906
;;2,6;0,1715;2645,613817
;;3;0,1815;2476,842319
;;3,4;0,1915;2307,895654
;;3,8;0,2005;2143,612014
;202650;;;
;;0,2;0,1025;2226,301756
;;0,6;0,1055;2806,679872
;;1;0,1135;3018,980917
;;1,4;0,1215;3054,36645
;;1,8;0,1305;2967,455826
;;2,2;0,1395;2819,175228
;;2,6;0,1485;2652,165407
;;3;0,1575;2480,754768
;;3,4;0,1665;2309,962936
;;3,8;0,1745;2144,464353
;236425;;;
;;0,2;0,0895;2226,281699
;;0,6;0,0925;2816,38988
;;1;0,0995;3033,924142
;;1,4;0,1075;3069,308098
;;1,8;0,1155;2979,071573
;;2,2;0,1235;2827,311052
;;2,6;0,1315;2657,469025
;;3;0,1405;2483,883284
;;3,4;0,1475;2311,598368
;;3,8;0,1555;2145,126684
;270200;;;
;;0,2;0,0795;2226,22227
;;0,6;0,0825;2824,690144
;;1;0,0895;3046,841471
;;1,4;0,0965;3082,174115
;;1,8;0,1035;2988,96321
;;2,2;0,1115;2834,164858
;;2,6;0,1185;2661,889601
;;3;0,1265;2486,464075
;;3,4;0,1335;2312,935716
;;3,8;0,1405;2145,659763
;303975;;;
;;0,2;0,0725;2226,145275
;;0,6;0,0745;2831,923362
;;1;0,0815;3058,211875
;;1,4;0,0875;3093,458103
;;1,8;0,0945;2997,55171
;;2,2;0,1015;2840,058974
;;2,6;0,1085;2665,655957
;;3;0,1155;2488,643448
;;3,4;0,1225;2314,056808
;;3,8;0,1285;2146,100239
;337750;;;
;;0,2;0,0655;2226,062386
;;0,6;0,0685;2838,321869
;;1;0,0745;3068,362556
;;1,4;0,0805;3103,49687
;;1,8;0,0875;3005,122366
;;2,2;0,0935;2845,209983
;;2,6;0,0995;2668,920371
;;3;0,1065;2490,517736
;;3,4;0,1125;2315,014963
;;3,8;0,1185;2146,471691
;371525;;;
;;0,2;0,0605;2225,979971
;;0,6;0,0635;2844,050288
;;1;0,0695;3077,526957
;;1,4;0,0745;3112,53044
;;1,8;0,0805;3011,877211
;;2,2;0,0865;2849,770076
;;2,6;0,0925;2671,788926
;;3;0,0985;2492,153424
;;3,4;0,1045;2315,846643
;;3,8;0,1105;2146,790078
;405300;;;
;;0,2;0,0565;2225,901479
;;0,6;0,0595;2849,229419
;;1;0,0645;3085,877464
;;1,4;0,0695;3120,735863
;;1,8;0,0755;3017,964396
;;2,2;0,0815;2853,850064
;;2,6;0,0865;2674,338258
;;3;0,0925;2493,598142
;;3,4;0,0985;2316,577763
